,TITULAR,DESCRIPCIÓN,LINKS
0,Valentía política de otro tipo, “Con una pizca de empatía podríamos comprender que el tamaño de nuestras discrepancias sigue siendo minúsculo comparado con la grandeza del país...,https://elcomercio.pe/opinion/columnistas/valentia-politica-de-otro-tipo-por-augusto-townsend-noticia/
1,La legítima protesta,“Erróneamente se asume que las personas están principalmente motivadas a protestar por sus principios ideológicos o posiciones políticas”.,https://elcomercio.pe/opinion/columnistas/legitimidad-politica-la-legitima-protesta-por-javier-diaz-albertini-noticia/
2,Perdonarán la sugerencia,“Todos necesitamos involucrarnos en agrupaciones que congreguen y apuesten por opciones de centro”.,https://elcomercio.pe/opinion/columnistas/hay-festival-moises-naim-perdonaran-la-sugerencia-por-janice-seinfeld-activismo-politico-noticia/
3,“El bien amado” vuelve a las tablas: cuando la corrupción y el engaño es la forma de hacer política,"De singular vigencia,  la obra brasileña escrita hace seis décadas se estrena hoy en el Centro Cultural de la PUCP. ",https://elcomercio.pe/luces/arte/el-bien-amado-una-puesta-en-escena-que-retrata-el-engano-y-la-corrupcion-como-forma-de-hacer-politica-noticia/
4,Democracia para adultos,"“Querer prevalecer en la discusión solo por prevalecer, sin contribuir a una solución efectiva, no es por cierto una actitud adulta”. ",https://elcomercio.pe/opinion/columnistas/peru-politica-democracia-para-adultos-por-gonzalo-zegarra-noticia/
5,Esperemos que el Congreso elija una fecha y nos ahorre la temeridad de plantear la renuncia de Boluarte.,"En su videocolumna “Cuéntame otra” de este viernes 3 de febrero, Fernando Vivas reflexiona sobre las voces que demandan la renuncia de la preside...",https://elcomercio.pe/el-comercio-tv/esperemos-que-el-congreso-elija-una-fecha-y-nos-ahorre-la-temeridad-de-plantear-la-renuncia-de-boluarte-cuentame-otra-noticia/
6,La guerra maldita,"“La guerra no es un mero instrumento de uso político racional, debido a que en su transcurso va generando pasiones y odios que pueden llevar a la...",https://elcomercio.pe/opinion/columnistas/guerra-politica-republica-la-guerra-maldita-por-carmen-mcevoy-noticia/
7,Los secretos del modelo,"“[El crecimiento económico] se dio a pesar de la disfuncionalidad política e institucional, no gracias a esta”.",https://elcomercio.pe/opinion/columnistas/crecimiento-economico-politica-gobierno-los-secretos-del-modelo-por-diego-macera-noticia/
8,"El Congreso es la principal causa de incertidumbre y protestas, por no confirmar el adelanto.",,https://elcomercio.pe/el-comercio-tv/cuentame-otra/el-congreso-es-la-principal-causa-de-incertidumbre-y-protestas-por-no-confirmar-el-adelanto-cuentame-otra-noticia/
9,Desterremos la mala política,"“La democracia peruana, aun con todos sus defectos, merece que la defendamos y que no la demos por sentada”. ",https://elcomercio.pe/opinion/columnistas/desterremos-la-mala-politica-por-oswaldo-molina-noticia/
10,El tiempo pasa,"“Sin partidos, programas o planteamientos ideológicos, advertí en varias columnas que la política nacional se personalizaba más aún”.",https://elcomercio.pe/opinion/columnistas/el-tiempo-pasa-por-javier-diaz-albertini-noticia/
11,En reconstrucción,"“En la medida de lo posible, recarguemos baterías en esta calma previa a la tormenta”.",https://elcomercio.pe/economia/dia-1/en-reconstruccion-dia1-opinion-noticia/
12,"Como Ovelar, Pelé o Weah: cuando los futbolistas hablaron o incursionaron en la política","Roberto Ovelar, reconocido futbolista paraguayo que tuvo cuatro etapas en el fútbol peruano, usó su cuenta de Twitter para pronunciarse sobre la ...",https://elcomercio.pe/deporte-total/futbol-peruano/como-roberto-ovelar-pele-o-george-weah-cuando-los-futbolistas-hablaron-o-incursionaron-en-la-politica-seleccion-peruana-rmmd-dtcc-noticia/
13,Se buscan nuevos políticos,“Esbocemos someramente tres rasgos distintivos que bien podrían maridar”.,https://elcomercio.pe/opinion/columnistas/se-buscan-nuevos-politicos-por-maite-vizcarra-noticia/
14,Estrategia y momento,"“Un buen líder, que sabe ser buen coach, entiende estos momentos, estos roles y potencia el talento individual valorando cada situación y transmi...",https://elcomercio.pe/opinion/colaboradores/estrategia-y-momento-por-elsa-del-castillo-noticia/
15,El saldo trágico de muertes se debe en gran parte a la ceguera del Congreso,,https://elcomercio.pe/el-comercio-tv/cuentame-otra/el-saldo-tragico-de-muertes-se-debe-en-gran-parte-a-la-ceguera-del-congreso-cuentame-otra-narp-noticia/
